"order","id","slug","title","readiness","changed_fields","changed_field_count","risk","drift","conflicts","warnings","unresolved_fields","becomes_historical","slug_semantically_stale"
"1","batch-tandas-libres-ricardo-tormo-racing100-2026-07-19","tandas-libres-ricardo-tormo-racing100-2026-07-19","Tandas libres Ricardo Tormo Racing100 julio 2026","ready_with_warnings","[""address"",""confidence_score"",""image_source_url"",""long_description"",""needs_review"",""official_url"",""organizer_url"",""registration_url"",""schedule_text"",""source"",""source_type"",""source_url"",""verified_at""]","13","low","[]","[]","[""3 campos o decisiones siguen sin resolver.""]","[""latitude"",""longitude"",""image_url""]","false","false"
"2","baja-espana-aragon-fia-wbc-2026-07-24","baja-espana-aragon-fia-wbc-2026-07-24","Baja España Aragón - FIA WBC","ready_with_warnings","[""confidence_score"",""country"",""event_status"",""image_source_url"",""long_description"",""needs_review"",""official_url"",""organizer_name"",""organizer_url"",""schedule_text"",""short_description"",""source"",""source_type"",""source_url"",""verified_at""]","15","low","[]","[]","[""5 campos o decisiones siguen sin resolver.""]","[""registration_url"",""address"",""latitude"",""longitude"",""image_url""]","false","false"
"3","rfme-campeonato-de-espana-de-freestyle-puerto-de-santa-maria-2026-07-24","campeonato-de-espana-de-freestyle-puerto-de-santa-maria-2026-07-24","Campeonato de España de Freestyle - Puerto de Santa María","ready_with_warnings","[""address"",""confidence_score"",""country"",""event_status"",""image_source_url"",""long_description"",""needs_review"",""official_url"",""organizer_name"",""organizer_url"",""registration_url"",""schedule_text"",""short_description"",""source"",""source_type"",""source_url"",""venue"",""verified_at""]","18","low","[]","[]","[""3 campos o decisiones siguen sin resolver.""]","[""latitude"",""longitude"",""image_url""]","false","false"
"4","batch-karting-outeiro-de-rei-2026-07-24","karting-outeiro-de-rei-2026-07-24","6.º Karting Outeiro de Rei 2026","ready_with_warnings","[""championship"",""confidence_score"",""image_source_url"",""long_description"",""needs_review"",""official_url"",""registration_url"",""schedule_text"",""short_description"",""source"",""source_url"",""title"",""venue"",""verified_at""]","14","medium","[]","[]","[""5 campos o decisiones siguen sin resolver.""]","[""address"",""latitude"",""longitude"",""image_url"",""organizer_operational""]","false","false"
"5","batch-rallymix-ribadumia-2026-07-24","rallymix-ribadumia-2026-07-24","V Rallymix Concello de Ribadumia 2026","ready_with_warnings","[""championship"",""confidence_score"",""image_source_url"",""long_description"",""needs_review"",""official_url"",""organizer_name"",""registration_url"",""schedule_text"",""short_description"",""source"",""source_url"",""title"",""venue"",""verified_at""]","15","medium","[]","[]","[""5 campos o decisiones siguen sin resolver.""]","[""organizer_url"",""address"",""latitude"",""longitude"",""image_url""]","false","false"
"6","batch-boiromotos-2026-07-24","boiromotos-2026-07-24","Boiromotos 2026","ready_with_warnings","[""confidence_score"",""image_source_url"",""long_description"",""official_url"",""organizer_name"",""organizer_url"",""registration_url"",""short_description"",""source"",""source_type"",""source_url"",""verified_at""]","12","low","[]","[]","[""5 campos o decisiones siguen sin resolver.""]","[""exact_event_address"",""latitude"",""longitude"",""full_schedule_text"",""image_url""]","false","false"
"7","batch-xvi-concentracion-ruedas-raras-toro-2026-07-24","xvi-concentracion-ruedas-raras-toro-2026-07-24","XVI Concentración Motera Ruedas Raras Toro 2026","ready_with_warnings","[""confidence_score"",""image_source_url"",""long_description"",""needs_review"",""official_url"",""organizer_name"",""organizer_url"",""registration_url"",""schedule_text"",""short_description"",""source"",""source_type"",""source_url"",""title"",""verified_at""]","15","medium","[]","[]","[""4 campos o decisiones siguen sin resolver.""]","[""exact_event_address"",""latitude"",""longitude"",""image_url""]","false","false"
"8","pujada-alp-2500-2026-07-25","pujada-alp-2500-2026-07-25","XV Pujada Alp 2500 2026","ready_with_warnings","[""address"",""confidence_score"",""end_date"",""image_source_url"",""long_description"",""needs_review"",""official_url"",""organizer_name"",""organizer_url"",""schedule_text"",""short_description"",""source"",""source_type"",""source_url"",""start_date"",""title"",""venue"",""verified_at""]","18","high","[]","[]","[""El slug conserva la fecha anterior 2026-07-25."",""4 campos o decisiones siguen sin resolver."",""La corrección de fechas hará que el evento pase a histórico.""]","[""latitude"",""longitude"",""image_url"",""event_status_enum_for_completed""]","true","true"
"9","batch-rallysprint-betancuria-2026-07-25","rallysprint-betancuria-2026-07-25","XIII Subida a Betancuria 2026","ready_with_warnings","[""address"",""championship"",""confidence_score"",""discipline"",""image_source_url"",""long_description"",""needs_review"",""official_url"",""organizer_name"",""organizer_url"",""registration_url"",""schedule_text"",""short_description"",""source"",""source_type"",""source_url"",""title"",""venue"",""verified_at""]","19","medium","[]","[]","[""El slug conserva la disciplina anterior Rallysprint."",""El slug conserva una identidad anterior del evento."",""4 campos o decisiones siguen sin resolver.""]","[""latitude"",""longitude"",""image_url"",""precise_start_finish_points""]","false","true"
"10","batch-x-subida-la-pizarra-2026-07-25","x-subida-la-pizarra-2026-07-25","X Subida de La Pizarra 2026","ready_with_warnings","[""confidence_score"",""image_source_url"",""long_description"",""needs_review"",""official_url"",""organizer_name"",""organizer_url"",""registration_url"",""schedule_text"",""short_description"",""source"",""source_type"",""source_url"",""verified_at""]","14","low","[]","[]","[""5 campos o decisiones siguen sin resolver.""]","[""exact_event_address"",""latitude"",""longitude"",""image_url"",""full_program_from_regulation""]","false","false"
